request_id,arrival_ms,output_tokens,split,prompt_tokens,source_timestamp,source_row
azure-code-v3-0000,0.000,8,validation,1911,2024-05-12 08:47:44.022580+00:00,3765335
azure-code-v3-0001,233.880,6,validation,642,2024-05-12 08:47:44.256460+00:00,3765336
azure-code-v3-0002,234.381,13,validation,468,2024-05-12 08:47:44.256961+00:00,3765337
azure-code-v3-0003,248.755,6,validation,1911,2024-05-12 08:47:44.271335+00:00,3765338
azure-code-v3-0004,385.410,27,validation,5008,2024-05-12 08:47:44.407990+00:00,3765339
azure-code-v3-0005,859.967,6,validation,5578,2024-05-12 08:47:44.882547+00:00,3765340
azure-code-v3-0006,986.564,33,validation,1912,2024-05-12 08:47:45.009144+00:00,3765341
azure-code-v3-0007,1064.190,9,validation,1004,2024-05-12 08:47:45.086770+00:00,3765342
azure-code-v3-0008,1109.890,6,validation,5578,2024-05-12 08:47:45.132470+00:00,3765343
azure-code-v3-0009,1735.295,78,validation,1911,2024-05-12 08:47:45.757875+00:00,3765344
azure-code-v3-0010,1748.710,11,validation,7686,2024-05-12 08:47:45.771290+00:00,3765345
azure-code-v3-0011,1749.644,6,validation,7681,2024-05-12 08:47:45.772224+00:00,3765346
azure-code-v3-0012,1989.288,36,validation,1911,2024-05-12 08:47:46.011868+00:00,3765347
azure-code-v3-0013,2236.399,9,validation,2601,2024-05-12 08:47:46.258979+00:00,3765348
azure-code-v3-0014,2237.011,4,validation,1911,2024-05-12 08:47:46.259591+00:00,3765349
azure-code-v3-0015,2487.173,1,validation,1911,2024-05-12 08:47:46.509753+00:00,3765350
azure-code-v3-0016,2487.889,3,validation,2599,2024-05-12 08:47:46.510469+00:00,3765351
azure-code-v3-0017,2497.884,7,validation,7686,2024-05-12 08:47:46.520464+00:00,3765352
azure-code-v3-0018,2610.446,3,validation,5578,2024-05-12 08:47:46.633026+00:00,3765353
azure-code-v3-0019,2736.566,13,validation,1911,2024-05-12 08:47:46.759146+00:00,3765354
azure-code-v3-0020,2880.074,19,validation,5599,2024-05-12 08:47:46.902654+00:00,3765355
azure-code-v3-0021,2984.392,1,validation,1912,2024-05-12 08:47:47.006972+00:00,3765356
azure-code-v3-0022,2985.192,3,validation,2599,2024-05-12 08:47:47.007772+00:00,3765357
azure-code-v3-0023,3487.997,49,validation,1912,2024-05-12 08:47:47.510577+00:00,3765358
azure-code-v3-0024,3996.401,14,validation,7686,2024-05-12 08:47:48.018981+00:00,3765359
azure-code-v3-0025,4266.363,10,validation,4062,2024-05-12 08:47:48.288943+00:00,3765360
azure-code-v3-0026,4483.194,1,validation,1912,2024-05-12 08:47:48.505774+00:00,3765361
azure-code-v3-0027,4483.738,3,validation,2599,2024-05-12 08:47:48.506318+00:00,3765362
azure-code-v3-0028,4514.990,1,validation,4063,2024-05-12 08:47:48.537570+00:00,3765363
azure-code-v3-0029,4733.705,1,validation,1912,2024-05-12 08:47:48.756285+00:00,3765364
azure-code-v3-0030,4767.623,18,validation,4063,2024-05-12 08:47:48.790203+00:00,3765365
azure-code-v3-0031,4984.259,5,validation,1912,2024-05-12 08:47:49.006839+00:00,3765366
azure-code-v3-0032,5114.596,13,validation,5579,2024-05-12 08:47:49.137176+00:00,3765367
azure-code-v3-0033,5267.079,24,validation,4064,2024-05-12 08:47:49.289659+00:00,3765368
azure-code-v3-0034,5488.004,11,validation,644,2024-05-12 08:47:49.510584+00:00,3765369
azure-code-v3-0035,5613.288,1,validation,5580,2024-05-12 08:47:49.635868+00:00,3765370
azure-code-v3-0036,5614.239,6,validation,5580,2024-05-12 08:47:49.636819+00:00,3765371
azure-code-v3-0037,5737.644,81,validation,1913,2024-05-12 08:47:49.760224+00:00,3765372
azure-code-v3-0038,5746.543,5,validation,7682,2024-05-12 08:47:49.769123+00:00,3765373
azure-code-v3-0039,5986.878,17,validation,1913,2024-05-12 08:47:50.009458+00:00,3765374
azure-code-v3-0040,6245.065,2,validation,7683,2024-05-12 08:47:50.267645+00:00,3765375
azure-code-v3-0041,6745.133,1,validation,7683,2024-05-12 08:47:50.767713+00:00,3765376
azure-code-v3-0042,6860.727,1,validation,5582,2024-05-12 08:47:50.883307+00:00,3765377
azure-code-v3-0043,6984.511,9,validation,644,2024-05-12 08:47:51.007091+00:00,3765378
azure-code-v3-0044,7064.331,13,validation,1004,2024-05-12 08:47:51.086911+00:00,3765379
azure-code-v3-0045,7109.211,1,validation,5582,2024-05-12 08:47:51.131791+00:00,3765380
azure-code-v3-0046,7237.831,11,validation,2622,2024-05-12 08:47:51.260411+00:00,3765381
azure-code-v3-0047,7245.621,2,validation,7683,2024-05-12 08:47:51.268201+00:00,3765382
azure-code-v3-0048,7362.850,4,validation,5582,2024-05-12 08:47:51.385430+00:00,3765383
azure-code-v3-0049,7485.100,38,validation,1915,2024-05-12 08:47:51.507680+00:00,3765384
